"Type","Content"
"CEBPHRASE","Naláin siya pagkabatì níya sa balità,"
"TEXT","He reacted with distaste upon hearing the news."
"CEBPHRASE","Gilaínan ku sa ákung pagkabutang,"
"TEXT","I feel uneasy in my situation."
"CEBWORD","dílì ig-"
"NUMBER","1"
"TEXT","related by blood."
"CEBPHRASE","Dílì ka nákù igláin,"
"TEXT","You’re not unrelated to me."
"NUMBER","2"
"TEXT","of the same family as."
"CEBPHRASE","Ang barílis dílì igláin sa tulíngan,"
"TEXT","The tuna is not unrelated to the mackerel."
"CEBPHRASE","Ang arti sa panugilánun dílì igláin sa arti sa pamintal,"
"TEXT","The art of story writing is not unrelated to the art of painting."
"CEBWORD","(→)"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A; a12]"
"TEXT","separate oneself from the group, do s.t. s.w. else or at another time."
"CEBPHRASE","Milain ang dalágag káun sa laláki,"
"TEXT","The girls ate apart from the boys."
"CEBPHRASE","Mulain ta kay lisud ug ípun ta sa mga bayaw,"
"TEXT","We will live separately because it is difficult to live with in-laws."
"CEBPHRASE","Lainun nákù ni ug anhi kay dì nákù madala run,"
"TEXT","I will come back for this some other time because I can not take it now."
"NUMBER","2"
"CLASS","[A; ac]"
"TEXT","separate s.t., set aside."
"CEBPHRASE","Laina ang hilaw ug ang hinug,"
"TEXT","Keep the unripe and the ripe ones separate."
"CEBPHRASE","Ilain kini pára níya,"
