"Type","Content"
"CEBPHRASE","Kláru na lang nga muhílak ug ímung kusiun,"
"TEXT","Obviously he’s going to cry if you pinch him."
"NUMBER","3c3"
"CEBWORD","salámat na — nga"
"TEXT","the only saving grace was."
"CEBPHRASE","Malumus untà ku. Salámat na lang nga dinhay nakakità nákù,"
"TEXT","I would have drowned, but thank God, s.o. saw me."
"NUMBER","4"
"CEBWORD","pa —"
"NUMBER","4a"
"TEXT","<i lang=""cebword"">following expression of time:</i>"
"NUMBER","4a1"
"TEXT","[such-and-such] was the first."
"CEBPHRASE","Karun pa lang ku makakità sa ingun,"
"TEXT","This is the very first time I ever saw anything like that."
"NUMBER","4a2"
"TEXT","if it was so at [such-and-such] a time already, it would be even worse later."
"CEBPHRASE","Sa súgud pa lang nahanákan na siya,"
"TEXT","At the very beginning he was already out of breath."
"NUMBER","4a3"
"TEXT","[so-and-so] just happened now."
"CEBPHRASE","Karun pa lang siya muabut,"
"TEXT","He just arrived now."
"CEBPHRASE","Daw kagahápun pa lang,"
"TEXT","It seems like only yesterday."
"NUMBER","4b"
"TEXT","lest [so-and-so] happen."
"CEBPHRASE","Dì ku mudúul sa irù kay paákun pa lang ku,"
"TEXT","I won’t go near the dog, because I might get bitten."
"NUMBER","4c"
"TEXT","if [so-and-so] had been the case."
"CEBPHRASE","Dì pa lang ka amígu nákù, ikíha ta ka,"
"TEXT","If you were not my friend, I would have filed a case against you."
"CEBPHRASE","Aku pa lay gipabúhat, gwápu tag ági,"
"TEXT","if they had told me to do it, it would have come out nice."
